,precision,recall,f1-score,support
No CHD,0.7464788732394366,0.8688524590163934,0.803030303030303,61.0
CHD,0.6363636363636364,0.4375,0.5185185185185185,32.0
accuracy,0.7204301075268817,0.7204301075268817,0.7204301075268817,0.7204301075268817
macro avg,0.6914212548015365,0.6531762295081966,0.6607744107744107,93.0
weighted avg,0.7085897594757203,0.7204301075268817,0.7051337750262482,93.0
