,precision,recall,f1-score,support
No CHD,0.7681159420289855,0.8688524590163934,0.8153846153846154,61.0
CHD,0.6666666666666666,0.5,0.5714285714285714,32.0
accuracy,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709677
macro avg,0.717391304347826,0.6844262295081966,0.6934065934065934,93.0
weighted avg,0.7332086644849618,0.7419354838709677,0.7314427507975894,93.0
