Feature,Importance
alcohol,0.02672083315937097
obesity,0.032312963762112915
sbp,0.0641364050942236
adiposity,0.09007369440603645
typea,0.09218404667750052
famhist,0.1043546015062677
ldl,0.15008658985041143
tobacco,0.16471149793681877
age,0.27541936760725766
