Classifier,Scaler only,log1p + Scaler,Diff
LightGBM,0.656,0.645,-0.01100000000000001
Bagging,0.677,0.677,0.0
KNN,0.677,0.688,0.010999999999999899
Random Forest,0.699,0.699,0.0
LDA,0.72,0.71,-0.010000000000000009
Decision Tree,0.71,0.71,0.0
Gaussian NB,0.731,0.72,-0.01100000000000001
Extra Trees,0.72,0.72,0.0
Gradient Boosting,0.731,0.731,0.0
AdaBoost,0.742,0.742,0.0
QDA,0.71,0.742,0.03200000000000003
SVM (RBF),0.753,0.742,-0.01100000000000001
Ridge LR,0.753,0.753,0.0
