,precision,recall,f1-score,support
No CHD,0.8032786885245902,0.8032786885245902,0.8032786885245902,61.0
CHD,0.625,0.625,0.625,32.0
accuracy,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709677
macro avg,0.7141393442622951,0.7141393442622951,0.7141393442622951,93.0
weighted avg,0.7419354838709677,0.7419354838709677,0.7419354838709677,93.0
