,precision,recall,f1-score,support
No CHD,0.8431372549019608,0.7049180327868853,0.7678571428571429,61.0
CHD,0.5714285714285714,0.75,0.6486486486486487,32.0
accuracy,0.7204301075268817,0.7204301075268817,0.7204301075268817,0.7204301075268817
macro avg,0.707282913165266,0.7274590163934427,0.7082528957528957,93.0
weighted avg,0.7496460949971386,0.7204301075268817,0.7268391663552953,93.0
